study,scale,guesser,respondent,model_type,component,est,se,t,p,cgr,cgr_trial_id,model_name,trial_id
mock,scale1,self,self,without_guess,intercept,19.076923076923073,0.6571994994931685,29.027598304069276,1.4588852198658721e-55,0.5,0,on_off_m3,31
mock,scale1,self,self,without_guess,conditionAC,7.231900452488687,0.8730384892809755,8.283598651469305,2.1433701888162019e-13,0.5,0,on_off_m3,31
mock,scale1,self,self,with_guess,intercept,18.22222222222222,0.8975824438931933,20.301446787645226,5.499171414116671e-40,0.5,0,on_off_m3,31
mock,scale1,self,self,with_guess,conditionAC,9.177777777777775,1.1946375792597665,7.682478717490708,5.460942875530188e-12,0.5,0,on_off_m3,31
mock,scale1,self,self,with_guess,guessAC,1.7777777777777772,1.294511810165275,1.373319087410104,0.17230177221630077,0.5,0,on_off_m3,31
mock,scale1,self,self,with_guess,conditionAC:guessAC,-4.026262626262627,1.7194293189003833,-2.3416272957573616,0.020905955498945073,0.5,0,on_off_m3,31
mock,scale1,self,self,without_guess,intercept,17.807692307692307,0.618672880034436,28.78369633189855,3.4943721654771976e-55,0.5,1,on_off_m3,31
mock,scale1,self,self,without_guess,conditionAC,9.001131221719456,0.8218588677576872,10.952161709074975,1.0932728957121053e-19,0.5,1,on_off_m3,31
mock,scale1,self,self,with_guess,intercept,17.259259259259252,0.8594143764922427,20.082581501259117,1.466994058670192e-39,0.5,1,on_off_m3,31
mock,scale1,self,self,with_guess,conditionAC,10.055026455026459,1.1438377803609359,8.790605300564224,1.5954716430677845e-14,0.5,1,on_off_m3,31
mock,scale1,self,self,with_guess,guessAC,1.1407407407407446,1.2394650405254781,0.9203492663714994,0.3593002775380144,0.5,1,on_off_m3,31
mock,scale1,self,self,with_guess,conditionAC:guessAC,-2.1822991822991864,1.6463137019657348,-1.3255670408947415,0.18758782510321634,0.5,1,on_off_m3,31
mock,scale1,self,self,without_guess,intercept,18.711538461538463,0.6906613623566736,27.092203909729335,1.747226432730776e-52,0.5,2,on_off_m3,31
mock,scale1,self,self,without_guess,conditionAC,8.391402714932127,0.9174899750557077,9.14604294659745,2.093675132595869e-15,0.5,2,on_off_m3,31
mock,scale1,self,self,with_guess,intercept,18.481481481481474,0.9510026036346443,19.433681265274096,2.7870871665393946e-38,0.5,2,on_off_m3,31
mock,scale1,self,self,with_guess,conditionAC,9.747089947089949,1.2657371542919973,7.700721997484605,4.968892700915154e-12,0.5,2,on_off_m3,31
mock,scale1,self,self,with_guess,guessAC,0.47851851851852045,1.3715554602017868,0.34888747294850153,0.7278062613772116,0.5,2,on_off_m3,31
mock,scale1,self,self,with_guess,conditionAC:guessAC,-2.7979990379990403,1.821762190387253,-1.5358750185743333,0.12729217881521424,0.5,2,on_off_m3,31
mock,scale1,self,self,without_guess,intercept,17.923076923076916,0.6337480739232932,28.281075178851378,2.1517715225682076e-54,0.5,3,on_off_m3,31
mock,scale1,self,self,without_guess,conditionAC,8.326923076923077,0.8418850919232499,9.890807138419072,3.641746789574727e-17,0.5,3,on_off_m3,31
mock,scale1,self,self,with_guess,intercept,17.037037037037027,0.8698846431467572,19.585398099921083,1.393539041851675e-38,0.5,3,on_off_m3,31
mock,scale1,self,self,with_guess,conditionAC,10.04867724867725,1.1577731843959125,8.67931420774814,2.8891175436811115e-14,0.5,3,on_off_m3,31
mock,scale1,self,self,with_guess,guessAC,1.8429629629629667,1.2545654738417311,1.4690050072232934,0.1445381803634589,0.5,3,on_off_m3,31
mock,scale1,self,self,with_guess,conditionAC:guessAC,-3.5650408850408897,1.666370782610484,-2.139404340404966,0.03449874974005306,0.5,3,on_off_m3,31
