study,scale,guesser,respondent,contrast,type,est,se,df,t,p,p_adj,cgr,cgr_trial_id
sbmd,PANAS,self,self,PLPLvsPLAC,fixCondition,-9.007825,1.654738,229.0,-5.443658,1.340562e-07,8.002324e-07,0.5,0
sbmd,PANAS,self,self,ACPLvsACAC,fixCondition,-5.427637,1.957458,229.0,-2.772799,0.006015287,0.03042412,0.5,0
sbmd,PANAS,self,self,PLPLvsACPL,fixGuess,-2.011637,1.598718,229.0,-1.258282,0.2095712,0.5904393,0.5,0
sbmd,PANAS,self,self,PLACvsACAC,fixGuess,1.56855,2.003472,229.0,0.782916,0.4344853,0.8621593,0.5,0
sbmd,PANAS,self,self,PLPLvsPLAC,fixCondition,-8.714845,1.668374,229.0,-5.223556,3.941272e-07,2.348079e-06,0.5,1
sbmd,PANAS,self,self,ACPLvsACAC,fixCondition,-3.86966,1.973589,229.0,-1.960722,0.05112378,0.2060542,0.5,1
sbmd,PANAS,self,self,PLPLvsACPL,fixGuess,-3.165578,1.611893,229.0,-1.963889,0.05075285,0.2048101,0.5,1
sbmd,PANAS,self,self,PLACvsACAC,fixGuess,1.679607,2.019983,229.0,0.8314957,0.4065598,0.8394576,0.5,1
sbmd,PANAS,self,self,PLPLvsPLAC,fixCondition,-7.875949,1.676701,229.0,-4.697289,4.545961e-06,2.686788e-05,0.5,2
sbmd,PANAS,self,self,ACPLvsACAC,fixCondition,-4.994769,1.98344,229.0,-2.518236,0.01247779,0.05976462,0.5,2
sbmd,PANAS,self,self,PLPLvsACPL,fixGuess,-3.108207,1.619938,229.0,-1.91872,0.056263,0.2230454,0.5,2
sbmd,PANAS,self,self,PLACvsACAC,fixGuess,-0.227027,2.030065,229.0,-0.1118324,0.9110542,0.9994984,0.5,2
sbmd,PANAS,self,self,PLPLvsPLAC,fixCondition,-7.651784,1.601426,229.0,-4.778107,3.162131e-06,1.871938e-05,0.5,3
sbmd,PANAS,self,self,ACPLvsACAC,fixCondition,-8.574978,1.894393,229.0,-4.526503,9.64044e-06,5.674771e-05,0.5,3
sbmd,PANAS,self,self,PLPLvsACPL,fixGuess,-0.8772969,1.547211,229.0,-0.5670184,0.5712571,0.9417634,0.5,3
sbmd,PANAS,self,self,PLACvsACAC,fixGuess,-1.800491,1.938925,229.0,-0.9286029,0.3540726,0.7895447,0.5,3
